sample_id,trait,top_fraction,top_label,pathway,n_top,n_background,top_mean,background_mean,effect,p_value,fdr,direction
20_00331_LI_SING,HDL_P,0.5,top50,Antigen_presentation,1917,1917,0.321156464750319,-0.321156464750318,0.642312929500637,2.49125684901994e-299,1.49475410941197e-298,higher_in_top50
20_00331_LI_SING,HDL_P,0.5,top50,Oxidative_stress_response,1917,1917,0.263399014786457,-0.263399014786457,0.526798029572913,1.8902662155311e-296,7.56106486212441e-296,higher_in_top50
20_00331_LI_SING,HDL_P,0.5,top50,Myeloid_phagocytosis_complement,1917,1917,0.246882735750348,-0.246882735750347,0.493765471500695,2.66266859399227e-279,7.98800578197682e-279,higher_in_top50
20_00331_LI_SING,HDL_P,0.5,top50,TGFb_CAF_activation,1917,1917,0.216903985320397,-0.216903985320397,0.433807970640794,3.91392248666457e-268,9.39341396799496e-268,higher_in_top50
20_00331_LI_SING,HDL_P,0.5,top50,Hypoxia_glycolysis,1917,1917,0.2158434340624,-0.2158434340624,0.4316868681248,1.17349298660967e-266,2.34698597321935e-266,higher_in_top50
20_00331_LI_SING,HDL_P,0.5,top50,M2_macrophage_immunosuppression,1917,1917,0.185231479204173,-0.185231479204172,0.370462958408345,7.22125155340702e-248,1.23792883772692e-247,higher_in_top50
20_00331_LI_SING,HDL_P,0.5,top50,IFNg_response,1917,1917,0.201109223843564,-0.201109223843564,0.402218447687128,5.67397788769821e-247,8.51096683154731e-247,higher_in_top50
20_00331_LI_SING,HDL_P,0.5,top50,Epithelial_repair_stemness,1917,1917,0.208971128631509,-0.208971128631509,0.417942257263018,6.64945298468606e-224,8.86593731291475e-224,higher_in_top50
20_00331_LI_SING,HDL_P,0.2,top20,TGFb_CAF_activation,767,3067,0.459193235258139,-0.114835738977174,0.574028974235313,5.36128101783768e-223,6.43353722140521e-222,higher_in_top20
20_00331_LI_SING,HDL_P,0.2,top20,Myeloid_phagocytosis_complement,767,3067,0.517079985825536,-0.12931214513472,0.646392130960255,6.58596520915359e-218,3.95157912549215e-217,higher_in_top20
20_00331_LI_SING,HDL_P,0.2,top20,Angiogenesis_endothelium,767,3067,0.402466403988745,-0.10064940719249,0.503115811181235,2.1154382330462e-212,8.46175293218478e-212,higher_in_top20
20_00331_LI_SING,HDL_P,0.5,top50,Angiogenesis_endothelium,1917,1917,0.17499802782232,-0.174998027822321,0.349996055644641,2.85676483264981e-208,3.42811779917977e-208,higher_in_top50
20_00331_LI_SING,HDL_P,0.5,top50,TNFa_NFkB_inflammation,1917,1917,0.153849878190113,-0.153849878190113,0.307699756380226,2.90005039920572e-203,3.16369134458805e-203,higher_in_top50
20_00331_LI_SING,HDL_P,0.2,top20,Antigen_presentation,767,3067,0.537285212276439,-0.134365098733625,0.671650311010064,2.55128646657157e-203,7.65385939971471e-203,higher_in_top20
20_00331_LI_SING,HDL_P,0.2,top20,M2_macrophage_immunosuppression,767,3067,0.41558695750456,-0.103930615065535,0.519517572570095,1.7638449124849e-202,4.23322778996375e-202,higher_in_top20
20_00331_LI_SING,HDL_P,0.2,top20,Oxidative_stress_response,767,3067,0.447140752459979,-0.111821635845062,0.558962388305041,3.22207995441554e-196,6.44415990883107e-196,higher_in_top20
20_00331_LI_SING,HDL_P,0.2,top20,TNFa_NFkB_inflammation,767,3067,0.329901008893497,-0.0825021434044057,0.412403152297903,9.99946415277784e-195,1.71419385476191e-194,higher_in_top20
20_00331_LI_SING,HDL_P,0.2,top20,ECM_remodeling,767,3067,0.593513217841873,-0.148426683431599,0.741939901273472,2.70884381172537e-187,4.06326571758805e-187,higher_in_top20
20_00331_LI_SING,HDL_P,0.2,top20,IFNg_response,767,3067,0.371556623032926,-0.0929194424082994,0.464476065441225,2.13418759215588e-175,2.84558345620784e-175,higher_in_top20
20_00331_LI_SING,HDL_P,0.2,top20,Hypoxia_glycolysis,767,3067,0.351779682881551,-0.0879735952951254,0.439753278176677,6.84353905462387e-164,8.21224686554864e-164,higher_in_top20
20_00331_LI_SING,HDL_P,0.1,top10,TGFb_CAF_activation,384,3450,0.607599820969182,-0.0676285018122224,0.675228322781405,4.15820585252377e-148,4.98984702302852e-147,higher_in_top10
20_00331_LI_SING,HDL_P,0.1,top10,Myeloid_phagocytosis_complement,384,3450,0.681032889550096,-0.0758019216194889,0.756834811169585,2.10815703186975e-144,1.26489421912185e-143,higher_in_top10
20_00331_LI_SING,HDL_P,0.1,top10,Angiogenesis_endothelium,384,3450,0.554970241325402,-0.06177060077361,0.616740842099012,2.53119986665382e-136,1.01247994666153e-135,higher_in_top10
20_00331_LI_SING,HDL_P,0.1,top10,TNFa_NFkB_inflammation,384,3450,0.447090154734814,-0.0497630780922229,0.496853232827037,5.1683186297793e-134,1.55049558893379e-133,higher_in_top10
20_00331_LI_SING,HDL_P,0.1,top10,ECM_remodeling,384,3450,0.788506087752801,-0.0877641558542243,0.876270243607026,5.95383624509986e-132,1.42892069882397e-131,higher_in_top10
20_00331_LI_SING,HDL_P,0.1,top10,Antigen_presentation,384,3450,0.627031510249804,-0.0697913333147601,0.696822843564564,3.67286456256847e-121,7.34572912513695e-121,higher_in_top10
20_00331_LI_SING,HDL_P,0.1,top10,M2_macrophage_immunosuppression,384,3450,0.540749312046324,-0.060187749514721,0.600937061561045,2.54838600446233e-116,4.36866172193543e-116,higher_in_top10
20_00331_LI_SING,HDL_P,0.2,top20,Treg_checkpoint,767,3067,0.172016064491793,-0.0430180376476054,0.215034102139398,5.49814671720188e-116,5.9979782369475e-116,higher_in_top20
20_00331_LI_SING,HDL_P,0.1,top10,Treg_checkpoint,384,3450,0.269778486167617,-0.0300275184603956,0.299806004628013,8.49923246195418e-107,1.27488486929313e-106,higher_in_top10
20_00331_LI_SING,HDL_P,0.1,top10,IFNg_response,384,3450,0.447454409245143,-0.0498036212029378,0.497258030448081,2.13541683373997e-102,2.84722244498662e-102,higher_in_top10
20_00331_LI_SING,HDL_P,0.5,top50,Treg_checkpoint,1917,1917,0.0791516704242883,-0.0791516704242882,0.158303340848576,9.42766156438835e-97,9.42766156438835e-97,higher_in_top50
20_00331_LI_SING,HDL_P,0.1,top10,Oxidative_stress_response,384,3450,0.459099978733249,-0.0510998237198746,0.510199802453123,9.44072558969157e-94,1.13288707076299e-93,higher_in_top10
20_00331_LI_SING,HDL_P,0.2,top20,Epithelial_repair_stemness,767,3067,0.251580004193056,-0.0629155080587131,0.31449551225177,5.44873717396093e-87,5.44873717396093e-87,higher_in_top20
