time,hazard,n_censor,n_event,group
5099,0.00962544961345268,47,0,Q3
5100,0.00962544961345268,25,0,Q3
5102,0.00962544961345268,35,0,Q3
5103,0.00962544961345268,43,0,Q3
5104,0.00962544961345268,35,0,Q3
5105,0.00962544961345268,47,0,Q3
5106,0.00965426598115155,52,1,Q3
5107,0.00965426598115155,31,0,Q3
5109,0.00965426598115155,25,0,Q3
5110,0.00965426598115155,48,0,Q3
5111,0.00965426598115155,36,0,Q3
5112,0.00965426598115155,47,0,Q3
5113,0.00965426598115155,39,0,Q3
5114,0.00965426598115155,1,0,Q3
5115,0.00965426598115155,2,0,Q3
5116,0.00965426598115155,29,0,Q3
5117,0.00965426598115155,29,0,Q3
5118,0.00965426598115155,47,0,Q3
5119,0.00965426598115155,42,0,Q3
5120,0.00965426598115155,60,0,Q3
5121,0.00965426598115155,39,0,Q3
5122,0.00965426598115155,1,0,Q3
5123,0.00965426598115155,54,0,Q3
5124,0.00965426598115155,62,0,Q3
5125,0.00965426598115155,53,0,Q3
5126,0.00965426598115155,73,0,Q3
5127,0.00965426598115155,44,0,Q3
5128,0.00965426598115155,59,0,Q3
5129,0.00965426598115155,2,0,Q3
5130,0.00965426598115155,34,0,Q3
5131,0.00965426598115155,36,0,Q3
5132,0.00965426598115155,31,0,Q3
5133,0.00965426598115155,47,0,Q3
5134,0.00965426598115155,23,0,Q3
5135,0.00965426598115155,33,0,Q3
5137,0.00965426598115155,37,0,Q3
5138,0.00965426598115155,34,0,Q3
5139,0.00965426598115155,33,0,Q3
5140,0.00965426598115155,59,0,Q3
5141,0.00965426598115155,31,0,Q3
5142,0.00965426598115155,27,0,Q3
5143,0.00968420475635838,0,1,Q3
5144,0.00968420475635838,37,0,Q3
5145,0.00968420475635838,47,0,Q3
5146,0.00968420475635838,46,0,Q3
5147,0.00968420475635838,39,0,Q3
5148,0.00968420475635838,41,0,Q3
5149,0.00968420475635838,42,0,Q3
5151,0.00968420475635838,32,0,Q3
5152,0.00968420475635838,42,0,Q3
5153,0.00968420475635838,30,0,Q3
5154,0.00968420475635838,40,0,Q3
5155,0.00968420475635838,44,0,Q3
5156,0.00968420475635838,42,0,Q3
5157,0.00968420475635838,2,0,Q3
5158,0.00968420475635838,30,0,Q3
5159,0.00968420475635838,33,0,Q3
5160,0.00968420475635838,48,0,Q3
5161,0.00968420475635838,43,0,Q3
5162,0.00968420475635838,36,0,Q3
5163,0.00968420475635838,35,0,Q3
5164,0.00968420475635838,2,0,Q3
5165,0.00968420475635838,52,0,Q3
5166,0.00968420475635838,41,0,Q3
5167,0.00968420475635838,47,0,Q3
5168,0.00968420475635838,36,0,Q3
5169,0.00968420475635838,29,0,Q3
5170,0.00968420475635838,54,0,Q3
5172,0.00968420475635838,36,0,Q3
5173,0.00968420475635838,57,0,Q3
5174,0.00968420475635838,52,0,Q3
5175,0.00968420475635838,52,0,Q3
5176,0.00968420475635838,35,0,Q3
5177,0.00968420475635838,36,0,Q3
5179,0.00968420475635838,59,0,Q3
5180,0.00968420475635838,57,0,Q3
5181,0.00968420475635838,48,0,Q3
5182,0.00968420475635838,54,0,Q3
5183,0.00968420475635838,65,0,Q3
5184,0.00968420475635838,56,0,Q3
5185,0.00968420475635838,4,0,Q3
5186,0.00968420475635838,55,0,Q3
5187,0.00968420475635838,78,0,Q3
5188,0.00968420475635838,69,0,Q3
5189,0.00968420475635838,65,0,Q3
5190,0.00968420475635838,50,0,Q3
5191,0.00968420475635838,51,0,Q3
5192,0.00968420475635838,2,0,Q3
5193,0.00968420475635838,48,0,Q3
5194,0.00968420475635838,51,0,Q3
5195,0.00968420475635838,56,0,Q3
5196,0.00968420475635838,62,0,Q3
5197,0.00968420475635838,65,0,Q3
5198,0.00968420475635838,67,0,Q3
5199,0.00968420475635838,1,0,Q3
5200,0.00968420475635838,33,0,Q3
5201,0.00968420475635838,59,0,Q3
5202,0.00968420475635838,50,0,Q3
5203,0.00968420475635838,67,0,Q3
5204,0.00968420475635838,48,0,Q3
5205,0.00968420475635838,53,0,Q3
5207,0.00968420475635838,49,0,Q3
5208,0.00968420475635838,52,0,Q3
5209,0.00968420475635838,62,0,Q3
5210,0.00968420475635838,50,0,Q3
5211,0.00968420475635838,57,0,Q3
5212,0.00968420475635838,1,0,Q3
5213,0.00968420475635838,3,0,Q3
5214,0.00968420475635838,18,0,Q3
5215,0.00968420475635838,65,0,Q3
5216,0.00968420475635838,54,0,Q3
5217,0.00968420475635838,65,0,Q3
5218,0.00968420475635838,54,0,Q3
5219,0.00968420475635838,40,0,Q3
5221,0.00968420475635838,37,0,Q3
5222,0.00968420475635838,62,0,Q3
5223,0.00968420475635838,75,0,Q3
5224,0.00968420475635838,52,0,Q3
5225,0.00968420475635838,64,0,Q3
5226,0.00968420475635838,56,0,Q3
5228,0.00968420475635838,45,0,Q3
5229,0.00968420475635838,56,0,Q3
5230,0.00968420475635838,52,0,Q3
5231,0.00968420475635838,41,0,Q3
5232,0.00968420475635838,46,0,Q3
5235,0.00968420475635838,36,0,Q3
5236,0.00968420475635838,65,0,Q3
5237,0.00968420475635838,32,0,Q3
5238,0.00968420475635838,42,0,Q3
5239,0.00968420475635838,65,0,Q3
5240,0.00968420475635838,59,0,Q3
5242,0.00968420475635838,40,0,Q3
5243,0.00968420475635838,64,0,Q3
5244,0.00968420475635838,52,0,Q3
5245,0.00968420475635838,46,0,Q3
5246,0.00968420475635838,47,0,Q3
5247,0.00968420475635838,74,0,Q3
5249,0.00968420475635838,36,0,Q3
5250,0.00968420475635838,39,0,Q3
5251,0.00968420475635838,54,0,Q3
5252,0.00968420475635838,57,0,Q3
5253,0.00968420475635838,45,0,Q3
5254,0.00968420475635838,1,0,Q3
5256,0.00968420475635838,1,0,Q3
5258,0.00968420475635838,41,0,Q3
5259,0.00968420475635838,85,0,Q3
5260,0.00968420475635838,59,0,Q3
5261,0.00968420475635838,42,0,Q3
5262,0.00968420475635838,1,0,Q3
5263,0.00968420475635838,56,0,Q3
5264,0.00968420475635838,55,0,Q3
5265,0.00968420475635838,51,0,Q3
5266,0.00968420475635838,51,0,Q3
5267,0.00968420475635838,53,0,Q3
5268,0.00968420475635838,58,0,Q3
5269,0.00968420475635838,1,0,Q3
5270,0.00968420475635838,50,0,Q3
5271,0.00968420475635838,55,0,Q3
5272,0.00968420475635838,59,0,Q3
5273,0.00968420475635838,66,0,Q3
5274,0.00968420475635838,77,0,Q3
5275,0.00968420475635838,67,0,Q3
5276,0.00968420475635838,1,0,Q3
5277,0.00968420475635838,55,0,Q3
5278,0.00968420475635838,46,0,Q3
5279,0.00968420475635838,62,0,Q3
5280,0.00968420475635838,96,0,Q3
5281,0.00968420475635838,69,0,Q3
5282,0.00968420475635838,85,0,Q3
5284,0.00968420475635838,61,0,Q3
5285,0.00968420475635838,56,0,Q3
5286,0.00968420475635838,81,0,Q3
5287,0.00968420475635838,70,0,Q3
5288,0.00968420475635838,96,0,Q3
5289,0.00968420475635838,70,0,Q3
5291,0.00968420475635838,62,0,Q3
5292,0.00968420475635838,65,0,Q3
5293,0.00968420475635838,57,0,Q3
5294,0.00968420475635838,61,0,Q3
5295,0.00968420475635838,78,0,Q3
5296,0.00968420475635838,79,0,Q3
5297,0.00968420475635838,1,0,Q3
5298,0.00968420475635838,65,0,Q3
5299,0.00968420475635838,56,0,Q3
5300,0.00968420475635838,69,0,Q3
5301,0.00968420475635838,47,0,Q3
5302,0.00968420475635838,67,0,Q3
5303,0.00968420475635838,52,0,Q3
5305,0.00968420475635838,59,0,Q3
5306,0.00968420475635838,66,0,Q3
5307,0.00968420475635838,65,0,Q3
5308,0.00968420475635838,67,0,Q3
5309,0.00968420475635838,55,0,Q3
5310,0.00968420475635838,62,0,Q3
5312,0.00968420475635838,51,0,Q3
5313,0.00968420475635838,63,0,Q3
5314,0.00968420475635838,72,0,Q3
5315,0.00968420475635838,44,0,Q3
5316,0.00968420475635838,70,0,Q3
5317,0.00968420475635838,45,0,Q3
5319,0.00968420475635838,45,0,Q3
5320,0.00968420475635838,47,0,Q3
5321,0.00968420475635838,33,0,Q3
5322,0.00968420475635838,47,0,Q3
5323,0.00968420475635838,25,0,Q3
5324,0.00968420475635838,19,0,Q3
5326,0.00968420475635838,34,0,Q3
5327,0.00968420475635838,40,0,Q3
5328,0.00968420475635838,50,0,Q3
5329,0.00968420475635838,62,0,Q3
5330,0.00968420475635838,45,0,Q3
